text,label
"the blades are all stamped with ""Spain"" marks so im thinking that these are forged. The scissors are made in china as is the block but that's not nearly as important.",1
"Pros: Excellent movement and control. Works great on multiple smooth surfaces. Responsive clicks. Fits both hands. USB receiver dongle is very small and unobtrusive, yet still transmits well. Light weight. Best of all, for me, the wheel clicks as you roll it.Cons: Too small for my tastes at roughly 4.5"" x 2.5"". It really only supports my fingers and part of my palm, which makes it uncomfortable to use for any length of time. The battery compartment is on top of mouse and slides around while I'm using the mouse. Feels cheaply made. Left-mouse button dead on arrival.",0
"a great book for kids who like Alice in Wonderland, The Never Ending Story. a fun read for adults as well.",1
"The Sonata and the 44 Duos are wonderful pieces to be sure, and Pauk's interpretation is good. However, the sound quality on this and every other Naxos recording I have ever heard is bad. Do Bartok the courtesy of listening to a good recording of this fantastic music.",0
"I used this phone for my skype call to China. The voice quality is great. It does not have many functions, however it does make fundamental communication function very well.",1
"even though tosh.o is not all that original, america's funniest home videos had terrible comic jokes. Tosh improves it and makes it hilarious. this show is absolutely terribly unfunny. it was painful to watch the host and guests come up with jokes that were quite lame. watch tosh, you'll be happier for it....",0
"A nice book. The book is short and a bit ""youngish"" in the pictures and layout. It's encouragement of expression of feeling about moving is so-so. I think it would be most useful with elementary school-aged children. The topic is not covered in depth and I would want more emphasis on learning the culture, language (and the like) about the country to which the child was moving if the child were gifted or older than about 6-7 years.",0
"It's simply an aweful item. I bought it brand new, with no scratches, but the disc behaved like I had scratched it up terribly. It would skip all over. We could never finish a game because it would just return to the main menu after half way through any game. Maybe I just got a faulty disc but if not, the item is terrible.",0
I saw this moive in the theater with a large group of people with varying taste every person thought that it was the worse movie they have ever seen. Guys if you like Al Pacino and thinl he can do no wrong you will still hate this movie trust me. It is terible and what makes it worse is that they try and make it complicted so as to pass as an inteligent movie and hide the lack of a plot and acting that destroys this movie. It also has that generic feel to it you can tell the writers did no research about the topic and instead just tried to count on two big names to carry this terrible move. Nobody with any taste can enjoy this movie.,0
"Nice recording. I particulary like ""Hastings Street Bounce"". It sounds like it has a bit of New Orleans in it. The ELVIN Jones drum solo, as is often the case, sounds out of control--one wonders when he's going to lose the beat entirely. Then, somehow, he comes back on the one and WHAM! it hits you on the nose.",1
"These are flexible light-weight gloves, useful for outdoor work and fairly rugged. But they are not waterproof...dip a finger in water for longer than a second, and you have a wet finger.",0
"I am reading this book as part of my sociology class. It is easy to see the aspects of sociology which we have discussed in this book. The way Rodrigues writes, it is very easy to keep an intrest in what he is saying. And he says it well.",1
"We are very happy with the Garmin 650 and wish we would have gotten it earlier. We have not figured out if we can download updated road information on it, though, and are hoping to get that information from the Garmin website.",1
Spreading freedom and piece around the world is the surest way to eliminate terrorism.,1
"What a bad album this is!I never imagine that any singer of classical music can be that bad. Or maybe Mr Watson simply is not a singer of classical music. He only pretends to be one and then made such a sad showing.Honestly, I think buying this album is just a sheer waste of money, although it has dispelled, for me at least, all those exaggerated myths surrounding this singer.",0
"It entertains our 2 years old. He enjoys this video and it keeps him busy. That's a good thing!! He likes it, so I do too.",1
"Contrary to the technical data presented here, this product does NOT ship with ATI's Mobility Radeon 7500C video board. The video board is instead ATI's Radeon IGP 340M, which is based on an old Radeon technology (for a comparison between Mobility Radeon and Mobility Radeon 7500 see the site tomshardware.com). For those interested in playing new 3D games, this is a no-no. Besides that, the system comes with a poor selection of cheap softwares and games, which in the end eat up 7GB of your hard drive. The fan is also particularly loud and annoying. The only + goes to its sleek design.",0
"Ok, let's get one thing down before this review goes any further: this movie is a two-star movie on the basis of its storyline. There are some elements of the film which will give viewers a few surprises, but overall, it is an example of a lack of intelligent filmmaking.However, on the basis of sound design, this movie is one of the best films ever. From the very beginning of the film, the soundtrack exhibits excellent qualities when it comes to utilizing the .1 LFE, from the vintage footage of H-bomb testing to the giant lizard thundering through the streets of New York City. Almost every scene, whether it has to do with the musical score or the sound effects of the scene, the surround sound is fully enveloping. There is no other way to describe this DVD: the sound design alone makes it a must for anyone into sound effects design.",0
"Who can stand to listen to this woman? Impressive set of pipes? Of course. But utterly lacking in soul, distinctiveness, personal phrasing, anything beyond the hey-listen-to-me bluster of so many young singers lately (Aguilera and Celine Dion also have good voices, but two minutes of either and I'm fast asleep). Let's face it; if there were no such thing as music videos, and CD covers were blank, and she never made any personal appearances (and thus, in other words, she had to trade off only on her voice and not her hooker's wardrobe), the public would be long gone.",0
The only thing this juicer is good for is to find out if you will really be into juicing. This juicer lasted for 3 months while juicing 3 to 5 times a week (for two people). At 3 months the tray that holds the blade warped and started spitting plastic into the drink. I considered getting another one to have spare parts....then I scraped that idea and got a real juicer. Besides being cheaply made...it should also be priced cheaper. Also the blade takes a while to clean.,0
"This book swept me along as if I were riding on a fire truck. The excitement never waned, and the details about fire equipment and fire fighting were intelligently explained to this layman. I look forward to the next Georgia Skeehan book. Mac sounds like a really promising romantic interest; I hope he appears in the next book.",1
