text,label
Currently in bed writing this for the past hr 1/2 there have been dogs barking and squealing call the front desk to advise basically to be told there's nothing they can do. 315.00 and I can't sleep.,0
I live in Md and the Aloft is my Home away from home...we stayed 1 night 7-7-16 ...Staff is great ! Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs.AND SHE DID ! Thumbs up... More,1
"I stayed here with my family for my daughters wedding. It had a very accommodating staff, Olivia was excellent. The rooms were very well maintained. Would highly recommend this hotel, especially if your wedding venue is Celebrations at the Bay!",1
"We stayed here while visiting Maryland Live!. Cute hotel in a great location. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff. Would definitely recommend and stay there again!",1
"I travel a lot with my job, so I'm constantly staying at hotels. When my co-workers and I arrived late last night at the Aloft the people at the front desk were more than welcoming. When I wanted to order room service I was told it was too late however, Olivia at the front desk informed me of a Italian... More",1
This is a nice hotel with great staff. I have young children and the entire staff from the front desk staff to the breakfast staff were there to help us. This was our first visit to the Portland area and we plan to go back later this summer. We will stay at this hotel when we return.,1
"Beautiful property and every staff member I encountered (front desk, housekeeping, breakfast hosts and GM) provided beyond excellent customer service! It's also conveniently located near restaurants, grocery stores starbucks and is a short drive to the freeways. I will definitely be back!",1
"My husband and I always try to stay at the Hotel Phillips when we are in Kansas City. It is our favorite hotel and we have stayed at many. I feel at home there and the staff has always been exceptional, although we are not particularly demanding guests. Over the years we have probably spent at least 20 nights there.... More",1
"Just stayed one night but very happy. Nice, comfortable top floor room. Staff could not have been more helpful. Great location right by the Power Light district. Be prepared to pay for valet parking. Price of this was Offset though by free wine and cheese reception.",1
I work here in Perry about 6 days out of the week. The People here are very friendly and willing to make your stay better. The hotel is great for my simple needs as I'm away from home. The rooms and hallways smell very clean each time I enter and leave. I will continue my business here for sure.,1
"We hosted our annual Client Event at The Grand Del Mar and it was excellent!! The service, property, rooms, restaurants, and GOLF absolutely magnificent. Our conference managers were a gem, great service! Thank you for making an important event run so smoothly.",1
"We enjoyed every minute of our stay in this breathtaking luxurious resort. The hotel is well kept and boasts caring and attending staff that do their best to make your stay memorable. The hotel offers great rooms, amenities and activities for all ages. I fell and fractured my hand on the last day of our stay (off property) and the... More",1
"Stayed here for Thanksgiving and had the best experience. Before we arrived they asked my three year old little boy's name and when we arrived they had the most adorable kids travel pillow and personalized cookie waiting for him. They had children's games on the lawn right outside our bottom floor room, 105, and he had his face painted for... More",1
This resort is GORGEOUS!! Check in was perfect our room wasnt ready (we were there early) so they took my phone number while we had drinks by the pool and in 20 mins or so our room was ready! The next day we had spa appts and the receptionist heard it was our honeymoon trip so after our massages we... More,1
"Expensive Yes. Service Above the norm! Nickel and dime you on the small stuff Nope! (one of my pet peeves if you are going to stay at a hotel of this caliber) This property gives you 5 star service. Forgot your work out clothes Let the staff know your size. Need some feminine products, be there in 5 minutes. The... More",1
"This property is absolutely pristine. The grounds are perfectly maintained, the rooms are luxurious with exquisite detail and the hotel in general is just a site to see. The location is great if you want to be away from the city and in a quiet area with gorgeous views of the hills (but close enough to to drive to Del... More",1
"This well kept secret has excellent and friendly service with reasonably priced rooms. The absence of a restaurant and bar in the hotel is barely noticed as numerous restaurants and bars are only steps from your room. I would put this hotel up against any on the beach with service and cleanliness. The hotel is updating all the rooms, which are slightly dated, to reflect an Asian influence. This includes projection TV and steam shower. I can't wait!",1
"The hotel is very near the sea...I think about 30 seconds on foot!The rooms are comfortable and clean. No luxury but very good value for money, if we consider the wonderful location of this hotel. Moreover, the staff is extremely kind, friendly and willing to help you...I will never forget the housekeeping manager, who was so sweet, and always gave me breakfast (and in abundant helping) after 10.00 am, since I was always late (let's say I enjoyed Honolulu's nightlife...). All in all, the aloha spirit is so evident in this hotel, which I strongly recommend.",1
"Our stay at the Ocean Tower Hotel was amazing! I read one review that didn't understand why this hotel had such good ratings. Well, he must be used to spending 200+ per night for a hotel room, or never traveled to Hawaii. Hotels with this location are often 300+ per night. The reviewer mentioned it being in need of a remodel. Well, unfortunately for those of us used to watching how we spend our money, they are remodeling the hotel and the rooms look awesome!!! They look nicer than the Arizona Biltmore and Phoenician Resort in Scottsdale, Arizona if you have been there. (I had only worked there and got the view the rooms, as I could not afford to spend 400+ per night.) So, when the rates are higher, and in line with the majority of the other hotels, that reviewer should be happy because the new rooms are truly gorgeous. People pay for gorgeous. They are the most modern beautiful hotel rooms I have ever seen.We actually felt lucky to get to stay there before the major remodel. The location is so close to the beach and downtown activities. We could walk to all kinds of wonderful things to do and see. Diamond Head was our view out our bathroom window. I would recommend spending the extra 15 or so per night for the ocean view. So, it wasn't fancy, but it was fun and helped us be able to save quite a bit of money. The bed was comfortable, the ocean breeze was to die for, and we couldn't have asked for more in that price range. I also have to recommend a corner room if you get lucky to have a cross-breeze of ocean air.However, what made it the most wonderful stay was the staff. We were treated like family from the moment we arrived. We never felt so cared for in a hotel. The friendly, caring and attentive staff made it a 5 star hotel in our eyes. We cannot wait to go back and see all the friends we made there. If on a budget get in on the older rooms before they are remodeled. If you have the extra money, get an amazing remodeled room, you won't be dissappointed.",1
"Had a really nice stay at hotel renew. Was close to the beach near to where they have a concrete break to stop the waves crashing, so would be good for young families. The bed was really comfy. Only a couple of negatives, the room we were in had a window in the bathroom, and a frosted glass door to the bathroom. This meant light streamed in through the window and door in the morning. Also there wasn't much for breakfast if you are trying to avoid sugar and there wasn't a lot of space.Aloha!!!Mahalo nui loa (thank you very much) for choosing to stay with us and for providing valuable feedback of your experience. Were glad you enjoyed our close proximity to our famous Kuhio Beach, restaurants, shopping outlets, and tourist attractions We are dedicated to touch all we encounter with integrity and the gracious spirit of Aloha as we fulfill the dreams of our guest. Overall we hope you had a positive experience on Oahu, and enjoy all the adventure our island has to offer. If your travels bring you back to Waikiki, we would be delighted to host you again. Mahalo,Thomas Harris Jr. General Manager",1
"My wife and I had a very nice time in Waikiki. We wanted to have a good time and not spend too much money. We booked a standard room at the Ocean Tower Hotel. Renovations are going on now to upgrade all the rooms. Our first room was clean and met our needs. But one night we had a small problem with a sprinkler in our room. To take care of the problem we were given a deluxe ocean view room for the same price. This made the vacation so much nicer, getting up in the morning and looking at the ocean. I have Leonor Wong to thank for this and many other things she did to make are stay so nice. When we go back to Waikiki we will stay at the Ocean Tower Hotel.",1
"I am currently in house and felt in necessary to write a review immediately. This hotel is amazing and I would recommend it to any and everyone staying in NOLA. The entire staff is fantastic and friendly. Even prior to arrival, their service was seamless. I had to send a credit card authorization because my wallet was stolen and it was handled by the staff in no time at all. I even mentioned that I was arriving super early in the morning and I arrived at 9am to find my room was already checked in and waiting for me, which was so beyond my request. It is hip, trendy, fun, lively and worth every dollar. The room, while on a low floor, is perfect. I had a problem with my television, which I normally need to sleep and even though it was late and the staff could not immediately rectify the issue, it was the way it was handled that truly made all the difference. I could not be more pleased. I will say one thing.. a word to the wise, if you will. Bourbon Street will get you every time. I was somehow hungover by 6pm. Drink Responsibly.",1
"It was our first visit to NOLA and first stay at Bienville House but it will not be our last! From check in to check out we were treated courteously, even at the restaurant/bar where we had fun drinking fun drinks. Our room was beautiful...so NOLA and the marble bathroom and shower was perfect...LOVE Bienville House!!!",1
"My wife will thank me forever. Wonderful hotel in Miami, not on the main beach strip but I would say in a better position, if what you want to do is relax and enjoy the area. The rooms were superb and we had one with a huge balcony overlooking the harbour and pool. Breakfast was just and simply amazing especially when sitting outside in the morning. Pool area well maintained and serviced by staff. There are very few amenities outside of the hotel, one has to walk for about 10 minutes to get to shops etc. Concierge services was very helpful, a big shout out to Carlos who was the most helpful concierge guy we had come across for a while, he is a mine of information about the local area. This hotel oozes luxury and very family friendly, my family of 4 was really looked after, Two small gripes, the hotel should have somewhere in the evening where a family can enjoy drinks and desserts, that is not the bar, very often we could not get a space there in the evening or felt uncomfortable to be there with kids, the other point being in room dining could be improved, the menu was a bit short for us and the kitchen was not flexible enough to tailor some dishes, for example making the pasta spicy, we ordered some rice with our chicken and it was just undercooked , it was changed immediately and we were given complimentary glasses of wine but it was too late when one is starving !",1
"We stayed at the Ritz for 5 nights in a club levelSuite. Location was wonderful, right by Boston Common and multiple T stops. Service was wonderful, especially from the concierge, front desk and club lounge staff. Staff made my 4 young children feel special and they enjoyed the scavenger hunt and little toys provided. The room was lovely and well appointed though a little smaller than it appeared in the website. I would definitely stay here again when I Boston! In fact Im planning on a business trip to Cambridge soon and considering staying here and commuting.Dear mnmorange,So glad to hear you enjoyed your recent stay with your family at The Ritz-Carlton, Boston, with all of the city so easily accessible just outside our doors. It is wonderful to know that you and your children were well taken care of by the friendly and professional ladies and gentlemen throughout the hotel. Thank you for taking the time to comment on your visit. We hope you will return for that upcoming business trip - getting to Cambridge from the hotel is a breeze - as well as many more occasions, when it will be our sincere pleasure to welcome you back.Warmest regards,William P. Bunce, General Manager",1
"Le St.-Rgis est incroyable. What a gorgeous hotel and what an upscale experience you will live by staying there. It was a dream come true. And if it wasn't enough, I bumped into Kate Mara in the elevator. I tried to act cool but totally failed. The rooms are perfect. The staff is perfect. Every square inch is clean and every detail was taken care of. I was lucky enough to have dinner in La Salle de Bal. It was fantastic. Thank you to the FPA for everythingDear PIERRE-YVES L, On behalf of The St. Regis New York, we thank you for both reviewing the property and allowing us to be a part of your New York City adventures! We do hope you will be back to stay with us soon and ask that you please let us know when you are returning! We would love to have you as our guest in the future!Sincerely, Octavia MargineanHotel Manager",1
"Quality of this hotel is exceptional. Arguably the best service and quality of room, restaurants and bar that we have ever experienced. The restaurant for breakfast was great and the bar at cocktail time was typical of a New York happy hour, loud and happy.Dear Richard K, We appreciate your review on TripAdvisor of our hotel and we are delighted that you have made The St. Regis Hotel your new home away from home. We will share with our team your praises and we are thankful for your visit. Sincerely, Octavia MargineanHotel Manager",1
"Here for business meetings, had some glitches with services like wifi and AV but we're fixed immediately, even though they were our mistakes not the hotel's. Others have pointed out interior vs exterior rooms. Rooms are spacious with floor butler at your service. Awesome!Thank you very much for your recent review on TripAdvisor. We truly appreciate you taking the time to detail your experience, and we are so pleased that you had a wonderful visit at The St. Regis New York. We will share your comments about our business accommodations with our team members, and we grateful of your praises.We look forward to welcoming you back as our guest in the near future!",1
"I love the location, the staff, the restaurants, THE BAR, the rooms and all of the extra services that are offered here where staff remember so many little details about previous trips that each return is like an extended day from the last stay.",1
"Amazing hotel, great service . They make you feel like you are their main concern . The rooms are amazing very clean, and equipped with every thing. It's my forth time here and I'm sure I will be back here again. The hotel experience is part of what makes the trip :)Dear adeeyacoby, It was truly a pleasure having you as our guest during your recent visit to New York City.On behalf of the entire team at The St. Regis New York, we are so pleased that you were able to experience our hotel again and enjoy the high service and quality levels which we pride ourselves on.Thank you for your time in reviewing our property on TripAdvisor, and please let us know when you will be returning, as we would love to have you back soon.Sincerely, Octavia MargineanHotel Manager",1
"I love the St Regis (generally speaking but especially the New York). I've stayed here 12 times over the last 4 years or so. It just seems to get better each time. Tire's a great new feature which is the Rooms control Manager (Molly) emailing me ahead of time to see when we would be arriving. My SPG upgrade available when we arrived at about 1015AM which is rare these days. Then there is the front desk staff - they are all wonderful but I want to call out Shelomie and Hugo who know Ryne and I by name and immediately make us feel at home. How about that concierge desk - again all are great but today I'll call out Krista and McKinley. I emailed while on the plane about getting in to the Salon for Mani and a shave. Our appointments were made and ready for when we arrived. Our Butler this trip was Marianna. She is awesome and gave us the utmost service during our stay. Finally Kevin and Juan our In Room dining attendants - just as perfect as can be. I named names because this is what this place is about. Consistent and friendly staff that makes The St Regis our home away form home. We really love it.Dear Kenneth,Thank you so much for taking the time to not only share your feedback regarding your most recent visit, but also to be so detailed and generous with your comments about our team members. Molly, Shelomie, Hugo, Krista, McKinley, Marianna, Kevin, and Juan are indeed amongst our most stellar performers and we could not be happier to learn that they made your and Ryne's visit enjoyable and memorable. Rest assured that they will receive the well-deserved recognition.Please come back soon! We want to be your home away from home many more times to come!Happy New Year!!!Daniela on behalf of All Your SRNY Friends",1
