text,label
"I throughly enjoyed The Selection series, but thought this novella was a bit of a letdown even though you have a glimpse into the restrictive life of the Prince as seen through his eyes. In this story Maxon's relationship with Daphne seems to be all one-sided, although the story does give a further glimpse into his relationship with his manipulative father and his view on love and finding a wife. The story's only redeeming quality was to reveal Maxon's stifling lifestyle and his need to gain control over his own life. This was probably most apparent in his perception of the Selection, his meeting with America and his need to review the candidate files. I don't think you need to read the novella to understand the Prince, although it was entertaining.",0
"This is one of the most dissapointing purchases ever. The formatting errors were so bad it was hardly readable!!!!! But what was there seemed really good! :( At the end of each paragraph, the next paragraph seemed like it was missing several words or sentences, EVERY TIME, but when thre was a long paragraph i enjoyed the writing! oh sad day, If anyone figures out how to fix this PLZ do so.",0
"""Oh yeah, come to the party,"" Emma had said. ""Simon will be there and he wants you,"" she said. When did that transform into getting torn to shreds by an evil bitch? Becky isn't about to let Livia get a piece of her without giving something back, but those sure are some strange sounds coming out of that woman. Finding out that your best friend, your best friend's new boyfriend, and the man you have been lusting after are other than human is a bit of a shocker, but Becky is no weak-willed lady Plus, she has to decide the fate of the bitch that had attacked her.When Simon finally gets Becky secured in his home, the Puma in him purrs. If he had any doubts at all about her being his mate, they had been erased at the scent of her blood and the sight of Livia crouched over her in the Friedelinde's garden. It was a good thing Becky had not even jokingly mentioned killing Livia as Livia's punishment for attacking her, because Simon would not have hesitated killing Livia for spilling his mate's blood. In fact, it had only been the fear in Becky's face, fear of him, that had stopped him from doing that anyway. He would have to work on that fear.We got a taste of the Simon/Becky romance in ""The Wallflower"", the story that introduced the Halle Pumas, but now they are back with a vengeance to resume their story in Sweet Dreams. Becky is as sassy as ever and Simon is sweet, strong, and sexy with a healthy dosing of protectiveness and possessiveness from both the man and the Puma. Seriously, what woman wouldn't love the guy? Though I have to say I'm rather glad Becky doesn't just fall all over him because this story is a great deal funnier for it. If I had one problem with this story it was that it was too darn short and that I didn't want it to end, but if that isn't the best recommendation I can give for a story, I just don't know what is.",1
"I felt the book started out just a tad slow but boy when it took off, it was great. I will definitely read more of this author's books and look forward to it.",1
"This is an absolutely awesome buy if you're interested in starting the Steele series. Loved all the stories in this book including the first short story of Dane and Sienna. Loved all the Steele brothers and cousin Vanessa' stories. Chance and Kylie had a sweet and very funny coming together. Lots of mischief. Sebastian(Bas) and Jocelyn had a feisty and rocky road to travel. Also in that story was the very touching and loving story between Jocelyn's sister Leah and Reese the man she loved but left behind without a word. Then you have Morgan who finally found Lena Spears, his perfect woman, even if she doesn't agree with him. Can't not love a beautiful man that loves your family too. Last but not least Vanessa and sworn enemy, the delicious Cameron Cody, who like Morgan has wanted his woman from a far for too long and is tired of waiting. Taking matters into his own hands, he lays out a proposition she can't, and deep down doesn't want to refuse. All the stories in the bundle are well worth the read and I found them all thoroughly hot and enjoyable. Great value on a great read.",1
"It was an interesting read, it was written by his sister and I really liked her impressions and feelings you can feel they were close-nit family. It is so captivating to read about the early church days and the struggles, and hardships they were able to overcome.",1
"This was recommended to me by a Hindi friend.  He reads this type of book every day.  I started but feel extremely overwhelmed.  He informed it explains how a man should behave.  That being as a son,  a husband and a brother.",0
"Interesting book about the Ottawa and Chippewa Indians of Michigan in the 1800s etc. The Indian author Andrew Blackbird wanted to get an education, and was a hard worker, but the money that was sent by the US Government, was not really available to him, as the system, including agents and friends disposed of it first. Another documented case where the system of Indian Agents really did not work well for the Indians, but rather was used by the agents for their benefit. Typical where the system is captured by the persons operating the system, and not by the people the system was set up to serve. He did an excellent job of collecting historical information, and creating a english to the local indian tongue dictionary. A little gem of a book.",1
Maggie Shayne intertwines people in such a way it captivates you. I plowed through the stories! Great plots and action.,1
"Can't say I've subscribed yet, but I have picked up an occasional issue of Reader's Digest on the Kindle.  It's a good mix of light feature pieces (an entertaining profile of actor Pierce Brosnan was a good read) and long, detailed investigative articles (good one on the airline industry in the same issue).  You also get actual captioned cartoons (a rarity on the Kindle!) and other fun elements.You also get another bonus.  If there's one criticism I have of Kindle blogs and magazines, it's visual sameness.  The New York Times looks like Newsweek which looks like The Philadelphia Inquirer, etc.  But Reader's Digest on the Kindle looks like, well... Reader's Digest.  You get the sharp, catchy graphics of the print edition (with the headline and sub-headlines of a story often embedded within the main photo just like in the regular magazine), and other pieces of visual flair- like the cartoons mentioned earlier- carried over from the magazine, too.  I guess it's a small point (as content is really the most important thing), but it's nice seeing a Kindle magazine that looks truly different from other Kindle magazines.  With luck this will be the beginning of a trend.But, yeah, give an issue a shot.  Even if you usually read weightier fare on your Kindle, you may just find the content and visual flair of Reader's Digest on the Kindle to be an occasional refreshing change.Note: Amazon frequently updates the presentation and functionality of Kindle blogs and periodicals, so as this review gets older, it may no longer accurately describe the current version of this product.",1
This story was simply ridiculous. Even the sex. was not even close to a turn on. I should be able to charge this author for the time it took me to read it. Please...tree sex with werewolves? Not good at all. Free is not an excuse for this,0
"If your looking for adventure you will be dissapointed, aside from the Time Machine and War of the worlds the stories from H G Wells are more dedicated to love and relationships in which there are in excess of a dozen.Love is a complex subject matter as witnessed by our author, untill our final story the compexity of relationships is laid bare with complete understanding.I have read this works in conjunction with the works of Jules Verne which I also give 5 stars. To sum up for the reader: One is the master of understanding love and romance in the narrative the other is the master of adventure and imagination.Both books are amazing value, containing endless hours of enjoyment.",1
"They are some stubborn, stubborn, did I mention STUBBORN, people. The sex in this story was HOT but all of the underhandedness and temper tantrums that went on were pretty frustrating and quite funny too. I liked this story a lot and had to finish it before I could do anything else. In other-words I couldn't put it down. Thank Goodness for a HEA (happily ever after). I recommend this book.",1
the beginning was interesting and then quickly became silly. everything is so rushed! within one month he says &#34;become a vampire and we will live forever together&#34;. worse yet is she says ok with no questions asked. the plotline was just strange and rushed. there was no real emotions in the characters and the sex scenes were just plain sad. the entire book was him apologizing and her saying everything will be ok. i wanted to like it but had to force myself to finish it (i skimmed the last chapters). the ending is just plain ridiculous!  what a waste of two hours......,0
I hadn't read this series before and was surprised how nice it is. It made me laugh but it made me wish also that these types of men existed. It was hard to put down.,1
"Two cowboys save a lady running from a cheating ex.A strong story that shows how fast love can develop when the time is right, and for these three it is so right and sexy.Kate is okay and gets better as the story grows, so does she.Bobby and Cale are layed back cowboys with alot of depth.Finding such gentle yet hard men would be any womens dream come true.Have a glass of iced tea handy, turn on the ceiling fan andenjoy a hot read.",1
"I would have given this book a 4.5 just for the editing problems but gave it a five instead of a four out of frustration at the negative reviews. I had this book sitting on my kindle for a week or so not bothering to read it because some of the reviews made it sound only mediocre. I sat down and read this through in one sitting. It was great. It did have quite a few typos, and misprints but for crying out loud its a self published book THATS FREE!I would love it if the author was able to make the book $3.00 and get some money for his work so that he could write a second. For a debut novel which I believe this is, it was a stellar performance. The character development was great. I could have used a little more antagonist descriptions ( its good to also get to know the bad guys we don't like), but the good guys were very knowable lovable. Sure parts were a little far fetched but its fantasy fiction?This book is chock full of heroism, good characters making common sense decisions honorably and humor.I would really like to see the story develop more, and a great way to do it would be to write it from the perspective of other survivors and give more ""alien"" information. HINT HINT.I would buy a book two for anything under $5.00 (my usual kindle cap) without hesitation.The language and sexuality and violence would all be rated about a soft PG-13. The sexuality in the book is just verbal discussions about sex not actual descriptions. I will recommend this to my older teen not my younger one yet.",1
"This book dashes in circles, always relying on the same, redundant information to keep readers reading. I was so bored at the end, I sped read and didn't actually care about whodunit. I didn't feel like the characters were developed nearly enough.",0
"Plot:Oriana crash lands her plane in Alaska. Stumbling through the forest she comes across the Werebears bunker. When they return from their walk and find her asleep in Jonathon's bed, they decide to keep her. But can the four of them find a happy, albeit erotic, future together, or is it really just a fairy tale?Comments:- Contemporary paranormal (shape shifting) erotic romance.- 3329 kindle locations (finishes around 3200 locations)- m/f - varied, explicit, caring. Some bdsm-lite behavior including hot wax, erotic spanking, mild humiliation, Dominant Alpha males, anal play. No m/m (brothers). Aiming for a committed foursome.- Quite a few editing and proofreading issues on my e-version. Enough to irritate and detract from this reader's enjoyment.Opinion:A very relationship-driven erotic romance following our Goldilocks as she takes on her three were-bears. Not a menage - Oriana never takes on more than one bed partner at a time - but highly erotic and varied as the Men show their different tastes. I liked Oriana - she was sweet and caring and very willing to go with the flow. She needed somewhere to just *be* and someone to simply love her. Getting three sexy men just makes it all the more fun. It's enjoyable, nicely written, and an easy way to pass the time.3.5 stars because of the editing issues, rounded up to 4 because Fanning made Goldilocks work, and made me laugh.Aside:Reminded me a lot ofMikayla's Menby Abby Blake - a sweet, easy woman who just wants to find a comfortable place to be loved. And her men who have differing needs and are simply looking for a woman to care for, protect and nurture.-CR-",1
